Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
China;CHN;3487000000;4366000000;11156000000;27515000000;33787000000;35849200000;40180000000;45439000000;45644000000;41014000000;42095300000;47053000000;53073618897;57900937467;68117272181;1,04109E+11;1,24082E+11;1,56249E+11;1,71535E+11;1,31057E+11;2,43703E+11;2,80072E+11;2,41214E+11;2,90928E+11;2,68097E+11;2,42489E+11;1,7475E+11;1,66084E+11;2,35365E+11;1,8717E+11;2,53096E+11;3,44075E+11;1,90204E+11;51338076802;18556141173
Cote d'Ivoire;CIV;48434430;18524890;69053840;175153530;117538570;211760840;269194530;415458080;760099130;235348770;234701730;272679900;212580420;165390570;282979830;349059586,5;350964618,6;443801751,4;468377743,9;397624744,3;358468317,3;301972462,5;330255520,7;407592122,1;439356961,2;494408755,8;577871524,2;975014998,8;620330654,4;848881139,4;712915894,5;1392435143;1599115749;2485137117;3802117860
Cameroon;CMR;-112831336,8;-14498049,75;29203775,78;5120733,123;3674320,509;15105727,29;104417058,4;149614497,8;55231294,16;35009801,84;159708006,2;-11668387,38;505256043,3;334888535,9;67984855,64;243601636,5;59122291,34;189581294,6;20995513,74;746276649;536265313,2;653266626,6;527363935,6;547404749,8;725854540,9;694336734,9;663893595,2;814458940,9;765092012,8;1024779238;675186993,7;963531503,5;925681548,6;821546383,2;925275150
Congo, Dem. Rep.;COD;-14460000;12390000;-730000;6870000;-1500000;-22350000;24790000;-44350000;61330000;11160000;94190400;102221900;187598690;391254720;409032810;180000000;256100000;1808000000;1726800000;-243200000;2742300000;1596024304;2891607809;1697585831;1499572152;1165720010;932374669,4;1047979483;1407563588;1350994226;1498084808;1677673790;1409373842;2375258887;2915055323
Congo, Rep.;COG;22551560;32753530;2739030;286054320;2990000;112782084,6;62427618,58;-49200799,91;-169664715,5;-68298651,84;-98141674,35;-135479673;200095651,5;220038914,2;88557997,22;801314933,9;1489015781;1424251936;1947972913;1189051286;1522228646;298678855,1;-69249948,22;1878859499;2891102397;4279839199;50608700,35;4416953730;4315250920;-1427679257;-1983178867;-320209517,7;532256250;626473710;603616460
Colombia;COL;500000000;456900000;728700000;959100000;1446497261;968368273,6;3111676590;5562216362;2828826262;1507907130;2436459923;2541942612;2133698124;1720493455;3115635874;10235417315;6750625311;8885764398;10564155796;8034746177;6429989613;14647048638;15039979139;16210419016;16168701715;11620532646;13857937721;13700880445;11298692774;13989154028;7458624984;9561335277;17182225498;16793702729;14269169295
Comoros;COM;393003,1038;2506163,334;-1446978,125;190704,7806;177714,24;889525,0177;510000;20000;384220;271000;93640;1145910;430420;793243,7346;672560,3786;558865,8;778420,2139;7691947,289;4650574,157;13839598,17;8350406,722;23118440,54;10375197,46;4231640;4684558,675;4936699,51;3569823,73;3919473,025;5672348,129;4300803,966;3875846,081;4024772,182;4128667,475;5352754,894;7100000
Cabo Verde;CPV;252601,2166;1744334,228;450471,753;3644068,127;2128443,354;26180647,12;28528007,74;11576610,74;6793745,394;53935025,35;34202238,38;9010186,206;14759046,68;39216510,81;67638273,8;80513541,33;131539968;191764359,2;210903689,3;126003552,2;116200563,6;102246382,2;128009964,8;89297444;180589795,4;96071472,84;126312006,1;111711633,7;103550532,6;122921295;67619883,92;91456883,26;122015529;158735894,9;109932741,8
Costa Rica;CRI;162500000;178400000;226000000;246700000;297600000;336900000;426950000;409440000;614500000;619469212;723426415,3;621846413,2;723172624,8;774386239,8;1083718486;1528787464;1801002598;2241492021;2436112218;1614614468;1906923793;2733268840;2696295211;3205384977;3242149797;2955521681;2620435491;2924906991;3014543618;2719031329;2103003649;3592802258;3673404329;4687479758;5277358749
Caribbean small states;CSS;239532454,9;393283875,5;430553464,1;576065212,1;806069632,4;733926537,7;704064566,1;1529832067;1258822408;1192296131;1411007390;1575395972;1777132501;1647157837;2111650418;2558738588;2906214384;3030703257;5249111174;2535905058;2485081948;2130997242;386949340,1;521253246,6;2476239774;2001766550;1849368612;895923112,9;2109766997;4362342307;3540689092;2664449939;-2377264674;-1356346220;9031546060
